title,uuid,tags,links,last_mod_dt,word_count
NetworkX Python Module,['202211061941'],"['#code-snippet', '#python']","['[[202211061941]]', '[[202112302013]]', '[[202207290840]]', '[[202211071545]]']",Wed Dec 27 19:58:06 2023,191
Rewilding Of The Language Of Nature,['202101051728'],"['#writing', '#flash', '#skill', '#quote']","['[[202101051728]]', '[[202012092105]]', '[[202304292017]]']",Wed Dec 27 20:56:54 2023,185
"T-November 18, 2020",['202011180617'],"['#mule', '#woodworking', '#blogging']","['[[202011180617]]', '[[202008300653]]', '[[202003262054]]']",Fri Nov 24 19:46:44 2023,349
Holy Smokes - Kim Stafford,['202101150603'],"['#ENGL473', '#poetry']","['[[202101150603]]', '[[202006091319]]', '[[202101160626]]', '[[202101150821]]', '[[202003020839]]', '[[202008061946]]', '[[202005051541]]']",Wed Dec 27 20:56:54 2023,206
Types Of Notes That Add Structure,['202008250546'],['#latest'],"['[[202008250546]]', '[[202008230753]]', '[[202004202103]]', '[[202103250921]]']",Fri Nov 24 19:46:44 2023,139
C-EDCI445 Book-Film Study,['202402121810'],"['#class-notes', '#literature', '#EDCI445', '#EDCI445']","['[[202402121810]]', '[[202211171832]]', '[[202312070644]]', '[[202402071805]]']",Mon Feb 26 18:47:55 2024,424
The Wrong Side Of History,['202009212028'],['#history'],"['[[202009212028]]', '[[202011170657]]', '[[202007201757]]', '[[202008190538]]', '[[202008191345]]', '[[201908121002]]', '[[202010171553]]', '[[202009220815]]', '[[202001120724]]', '[[202009210916]]', '[[202009210922]]', '[[202009220758]]', '[[201910291924]]', '[[201902041012]]', '[[201912291022]]', '[[201912201507]]']",Wed Dec 27 20:17:20 2023,193
Lyrical Music Notation,['202204160713'],['#literary-device'],"['[[202204160713]]', '[[201905171128]]', '[[201905100924]]', '[[201905231329]]']",Wed Dec 27 19:58:06 2023,52
River Above - River Below,['202009111953'],"['#writing', '#writing_exercise']","['[[202009111953]]', '[[202304190752]]', '[[202002041515]]', '[[202009071933]]', '[[202009071926]]', '[[202009071949]]', '[[202009090725]]', '[[202009071940]]', '[[202009071949]]', '[[202009071933]]', '[[202002100737]]', '[[202303120829]]', '[[202303191712]]', '[[202009111947]]', '[[202001230749]]', '[[202406170831]]']",Mon Jun 17 09:02:05 2024,272
A-Problem Solving Skills For The Future,['202009021739'],"['#thinking-skills', '#article']","['[[202009021739]]', '[[202205141503]]', '[[202210271458]]', '[[202001031639]]', '[[202001102044]]', '[[202203182001]]', '[[202203190815]]', '[[202306101751]]', '[[201902110737]]', '[[202211040837]]']",Fri Nov 24 19:46:44 2023,349
Neurological Glossary,['202207131615'],"['#definition', '#list', '#PD', '#CLIPPERS', '#collection-list']","['[[202207131615]]', '[[202207131631]]', '[[202207131652]]']",Tue Jun 11 05:59:11 2024,446
B-How To Know A Person,['202405260654'],"['#book', '#relationships', '#conversation-skills', '#definition', '#metaphor']","['[[202405260654]]', '[[202310250522]]', '[[202311141703]]', '[[202309250738]]', '[[202112181559]]', '[[202405300432]]']",Wed Jun 19 19:24:22 2024,5248
Arrive at nondoing,['201902251223'],['#dzogchen'],"['[[201902251223]]', '[[201901301240]]', '[[202010300736]]']",Fri Nov 24 19:46:44 2023,185
Does art have to be useful?,['202306020520'],"['#philosophy', '#life-of-mind', '#math']","['[[202306020520]]', '[[202104240939]]', '[[202206170817]]']",Sun Sep 10 08:06:15 2023,323
You are what you do,['202012150928'],"['#blog-post', '#31by31']","['[[202012150928]]', '[[202305110809]]', '[[202012161026]]', '[[202207231714]]']",Fri Nov 24 19:46:44 2023,366
B-Writing Science In The 21st Century,['202201120840'],"['#book', '#JAMM328']","['[[202201120840]]', '[[202303181732]]', '[[202204111808]]', '[[202211060904]]', '[[202201201401]]', '[[202202082107]]', '[[202201120840]]', '[[202204060753]]', '[[202305190720]]']",Wed Dec 27 19:58:06 2023,866
Bardo,['201901301829'],['#dzogchen'],"['[[201901301829]]', '[[201901301240]]']",Fri Nov 24 19:46:44 2023,55
"U-GEOL454 Air Quality, Pollution & Smoke",['202308152012'],"['#class-notes', '#GEOL454', '#chemistry']","['[[202308152012]]', '[[202211171832]]', '[[202308211345]]', '[[202308231727]]', '[[202309041153]]', '[[202309131023]]', '[[202309271955]]', '[[202310021149]]', '[[202310121028]]', '[[202310182047]]', '[[202310231718]]', '[[202311031510]]', '[[202308310722]]']",Wed Dec 27 19:58:06 2023,273
Precarity,['202007201008'],['#definition'],"['[[202007201008]]', '[[202101150821]]', '[[202102100855]]', '[[202202071206]]', '[[202102170655]]']",Sun Dec 10 17:51:37 2023,96
